id,地图,郡,等级,类型,x,y
166761,宜都,宜都郡,10,木,577,677
166762,宜都,宜都郡,10,石,581,676
166775,宜都,宜都郡,10,石,594,677
166776,宜都,宜都郡,10,石,595,680
166783,宜都,宜都郡,10,粮,597,653
166780,宜都,宜都郡,10,铁,599,724
166779,宜都,宜都郡,10,石,600,731
166785,宜都,宜都郡,10,粮,602,689
166788,宜都,宜都郡,10,石,603,713
166795,宜都,宜都郡,10,木,604,675
166797,宜都,宜都郡,10,木,606,654
166792,宜都,宜都郡,10,木,606,708
166807,宜都,宜都郡,10,石,609,733
166801,宜都,宜都郡,10,木,610,688
166802,宜都,宜都郡,10,木,610,689
166815,宜都,宜都郡,10,粮,612,642
166812,宜都,宜都郡,10,粮,612,656
166814,宜都,宜都郡,10,粮,613,651
166813,宜都,宜都郡,10,粮,613,653
166819,宜都,宜都郡,10,铁,615,663
166823,宜都,宜都郡,10,粮,619,714
166827,宜都,宜都郡,10,木,620,663
166836,宜都,宜都郡,10,铁,621,733
166845,宜都,宜都郡,10,木,627,646
166850,宜都,宜都郡,10,石,627,710
166852,宜都,宜都郡,10,石,628,716
166851,宜都,宜都郡,10,木,629,714
166855,宜都,宜都郡,10,铁,629,743
166856,宜都,宜都郡,10,木,632,753
166859,宜都,宜都郡,10,石,633,707
166866,宜都,宜都郡,10,铜,634,694
166867,宜都,宜都郡,10,木,634,696
166872,宜都,宜都郡,10,铁,634,731
166862,宜都,宜都郡,10,铁,635,671
166865,宜都,宜都郡,10,石,635,692
166877,宜都,宜都郡,10,粮,639,684
166876,宜都,宜都郡,10,铁,639,696
166885,宜都,宜都郡,10,石,641,736
166886,宜都,宜都郡,10,木,641,739
166880,宜都,宜都郡,10,木,642,693
166884,宜都,宜都郡,10,粮,643,724
166890,宜都,宜都郡,10,铁,646,683
166897,宜都,宜都郡,10,铁,649,682
166898,宜都,宜都郡,10,石,649,689
166895,宜都,宜都郡,10,粮,650,644
166908,宜都,宜都郡,10,铁,652,650
166906,宜都,宜都郡,10,木,653,697
166910,宜都,宜都郡,10,铁,654,624
166917,宜都,宜都郡,10,木,655,771
166913,宜都,宜都郡,10,粮,656,661
166924,宜都,宜都郡,10,粮,658,761
166929,宜都,宜都郡,10,木,659,640
166935,宜都,宜都郡,10,石,661,683
166938,宜都,宜都郡,10,铁,662,730
166939,宜都,宜都郡,10,铜,663,730
166948,宜都,宜都郡,10,木,665,637
166941,宜都,宜都郡,10,木,665,731
166946,宜都,宜都郡,10,木,666,641
166951,宜都,宜都郡,10,木,668,637
166964,宜都,宜都郡,10,粮,671,621
166963,宜都,宜都郡,10,粮,672,770
166966,宜都,宜都郡,10,石,675,635
166974,宜都,宜都郡,10,石,675,726
166981,宜都,宜都郡,10,铁,679,720
166990,宜都,宜都郡,10,石,680,615
166989,宜都,宜都郡,10,粮,680,621
166988,宜都,宜都郡,10,铁,680,624
166986,宜都,宜都郡,10,粮,680,660
167004,宜都,宜都郡,10,铁,682,811
166991,宜都,宜都郡,10,木,683,623
167017,宜都,宜都郡,10,木,684,621
167012,宜都,宜都郡,10,粮,684,700
167007,宜都,宜都郡,10,粮,684,799
167021,宜都,宜都郡,10,石,685,607
167019,宜都,宜都郡,10,石,685,616
167018,宜都,宜都郡,10,粮,685,617
167010,宜都,宜都郡,10,铁,685,763
167028,宜都,宜都郡,10,铁,689,782
167030,宜都,宜都郡,10,铁,689,800
167025,宜都,宜都郡,10,石,690,682
167029,宜都,宜都郡,10,石,690,799
167044,宜都,宜都郡,10,木,691,676
167040,宜都,宜都郡,10,木,691,705
167037,宜都,宜都郡,10,石,692,776
167034,宜都,宜都郡,10,木,692,803
167048,宜都,宜都郡,10,木,693,649
167038,宜都,宜都郡,10,铜,693,733
167052,宜都,宜都郡,10,铁,695,722
167055,宜都,宜都郡,10,石,696,811
167063,宜都,宜都郡,10,石,699,715
167058,宜都,宜都郡,10,铁,699,781
167056,宜都,宜都郡,10,石,699,825
167061,宜都,宜都郡,10,石,700,767
167059,宜都,宜都郡,10,铁,700,782
167065,宜都,宜都郡,10,铁,701,611
167067,宜都,宜都郡,10,木,702,620
167089,宜都,宜都郡,10,铁,704,628
167082,宜都,宜都郡,10,石,706,794
167099,宜都,宜都郡,10,粮,707,790
167091,宜都,宜都郡,10,木,709,599
167098,宜都,宜都郡,10,石,709,713
167092,宜都,宜都郡,10,铜,710,603
167100,宜都,宜都郡,10,粮,710,801
167101,宜都,宜都郡,10,铁,710,804
167112,宜都,宜都郡,10,铜,713,632
167133,宜都,宜都郡,10,石,715,839
167125,宜都,宜都郡,10,铁,716,692
167130,宜都,宜都郡,10,粮,716,800
167143,宜都,宜都郡,10,铁,718,691
167141,宜都,宜都郡,10,粮,718,771
167140,宜都,宜都郡,10,木,720,776
167164,宜都,宜都郡,10,粮,724,672
167166,宜都,宜都郡,10,铁,726,642
167180,宜都,宜都郡,10,木,727,805
167182,宜都,宜都郡,10,石,728,850
167173,宜都,宜都郡,10,铁,729,639
167176,宜都,宜都郡,10,木,729,686
167177,宜都,宜都郡,10,木,729,690
167178,宜都,宜都郡,10,铁,729,754
167181,宜都,宜都郡,10,石,729,823
167196,宜都,宜都郡,10,木,731,603
167192,宜都,宜都郡,10,木,732,635
