id,地图,郡,等级,类型,x,y
61563,河南,河南尹,10,木,658,932
61562,河南,河南尹,10,铜,658,946
61570,河南,河南尹,10,木,663,851
61568,河南,河南尹,10,石,664,920
61607,河南,河南尹,10,木,664,1051
61572,河南,河南尹,10,铜,665,851
61573,河南,河南尹,10,粮,665,872
61574,河南,河南尹,10,铁,665,913
61581,河南,河南尹,10,木,667,870
61580,河南,河南尹,10,铁,668,877
61578,河南,河南尹,10,铜,668,928
61584,河南,河南尹,10,粮,669,868
61593,河南,河南尹,10,石,669,981
61592,河南,河南尹,10,铁,670,981
61599,河南,河南尹,10,粮,672,877
61595,河南,河南尹,10,木,672,978
61617,河南,河南尹,10,铁,675,932
61614,河南,河南尹,10,铜,675,1032
61612,河南,河南尹,10,铁,675,1044
61623,河南,河南尹,10,石,677,899
61624,河南,河南尹,10,木,677,904
61620,河南,河南尹,10,木,678,859
61626,河南,河南尹,10,木,678,942
61633,河南,河南尹,10,木,679,1027
61637,河南,河南尹,10,铁,681,968
61642,河南,河南尹,10,石,683,1024
61644,河南,河南尹,10,粮,684,949
61648,河南,河南尹,10,木,685,825
61664,河南,河南尹,10,铁,689,920
61665,河南,河南尹,10,木,689,948
61666,河南,河南尹,10,木,689,950
61660,河南,河南尹,10,石,690,843
61663,河南,河南尹,10,粮,690,919
61674,河南,河南尹,10,石,693,862
61677,河南,河南尹,10,木,693,911
61681,河南,河南尹,10,石,697,883
61684,河南,河南尹,10,铜,698,981
61686,河南,河南尹,10,石,699,1040
61693,河南,河南尹,10,粮,700,854
61688,河南,河南尹,10,木,700,1007
61700,河南,河南尹,10,木,703,985
61708,河南,河南尹,10,铁,705,1030
61705,河南,河南尹,10,木,706,904
61719,河南,河南尹,10,石,707,869
61711,河南,河南尹,10,粮,707,1002
61709,河南,河南尹,10,粮,707,1035
61716,河南,河南尹,10,石,708,888
61725,河南,河南尹,10,石,711,992
61723,河南,河南尹,10,铜,711,1021
61733,河南,河南尹,10,粮,713,959
61735,河南,河南尹,10,铁,713,994
61744,河南,河南尹,10,粮,718,1036
61747,河南,河南尹,10,石,720,890
61756,河南,河南尹,10,粮,723,904
61754,河南,河南尹,10,铜,723,998
61759,河南,河南尹,10,石,725,848
61760,河南,河南尹,10,石,725,919
61768,河南,河南尹,10,石,725,1016
61763,河南,河南尹,10,粮,726,952
61773,河南,河南尹,10,铁,727,832
61770,河南,河南尹,10,石,727,989
61771,河南,河南尹,10,铁,728,961
61781,河南,河南尹,10,木,732,888
61779,河南,河南尹,10,石,732,1021
61788,河南,河南尹,10,粮,736,1022
61804,河南,河南尹,10,粮,740,873
61802,河南,河南尹,10,铁,740,896
61815,河南,河南尹,10,石,742,953
61816,河南,河南尹,10,铜,742,973
61817,河南,河南尹,10,铜,743,942
61819,河南,河南尹,10,铁,744,843
61822,河南,河南尹,10,铁,746,873
61830,河南,河南尹,10,铁,748,800
61829,河南,河南尹,10,石,748,845
61832,河南,河南尹,10,粮,750,863
61833,河南,河南尹,10,铁,750,887
61834,河南,河南尹,10,粮,750,906
61835,河南,河南尹,10,铁,752,952
61843,河南,河南尹,10,铁,753,918
61845,河南,河南尹,10,石,754,960
61856,河南,河南尹,10,石,760,1001
61860,河南,河南尹,10,粮,761,815
61858,河南,河南尹,10,铁,762,792
61859,河南,河南尹,10,铁,762,812
61863,河南,河南尹,10,铁,762,991
61867,河南,河南尹,10,石,764,860
61865,河南,河南尹,10,粮,764,1000
61874,河南,河南尹,10,石,765,949
61873,河南,河南尹,10,石,766,922
61880,河南,河南尹,10,石,767,813
61879,河南,河南尹,10,粮,767,832
61877,河南,河南尹,10,铁,767,847
61875,河南,河南尹,10,铜,768,996
